,,value,value,value,value,value,value,value,value,value
metric,,CVaR,Expected return,Expected volatility,Information ratio,Portfolio beta,Sharpe ratio,Tail ratio,Tracking error,VaR
Assets,ALLOC_BENCH,,,,,,,,,
3,BITCOIN,-9.11% (-13.49),-19.74% (-3.35),74.32% (23.59),-0.95 (-4.56),1.05 (5.98),-0.27 (-4.08),0.97 (-0.92),47.07% (86.21),-6.83% (-20.87)
3,CAPITALIZATION_WEIGHTED,-9.11% (-8.58),-19.74% (-2.10),74.32% (15.80),-0.36 (-1.68),1.02 (5.31),-0.27 (-1.97),0.97 (0.84),37.63% (82.06),-6.83% (-12.75)
3,EQUAL_WEIGHTED,-9.11% (1.43),-19.74% (-0.28),74.32% (6.26),-0.05 (-0.43),0.91 (-11.48),-0.27 (-0.22),0.97 (5.97),40.96% (81.21),-6.83% (0.05)
5,BITCOIN,-8.59% (-10.71),-23.88% (-4.47),66.17% (15.94),-1.54 (-9.44),1.06 (8.78),-0.36 (-4.98),0.87 (-7.00),31.69% (75.43),-5.91% (-14.27)
5,CAPITALIZATION_WEIGHTED,-8.59% (-1.88),-23.88% (-0.54),66.17% (4.54),-0.78 (-4.99),0.99 (-2.96),-0.36 (-0.42),0.87 (0.36),22.86% (80.88),-5.91% (-3.64)
5,EQUAL_WEIGHTED,-8.59% (4.93),-23.88% (-1.14),66.17% (-4.68),-0.20 (-2.17),0.86 (-19.65),-0.36 (-1.16),0.87 (2.59),31.44% (79.84),-5.91% (5.56)
8,BITCOIN,-7.89% (-4.99),-23.06% (-4.97),61.16% (8.48),-2.24 (-12.36),1.05 (8.50),-0.38 (-5.29),0.90 (-1.90),21.48% (64.23),-5.22% (-8.14)
8,CAPITALIZATION_WEIGHTED,-7.89% (1.76),-23.06% (-2.12),61.16% (-2.98),-1.53 (-6.84),0.96 (-13.13),-0.38 (-2.36),0.90 (0.26),11.07% (56.37),-5.22% (1.54)
8,EQUAL_WEIGHTED,-7.89% (9.98),-23.06% (-1.31),61.16% (-13.58),-0.23 (-0.47),0.83 (-32.92),-0.38 (-1.52),0.90 (3.54),24.29% (89.85),-5.22% (15.25)
10,BITCOIN,-7.78% (-3.76),-14.43% (-3.79),60.17% (7.26),-2.00 (-11.31),1.04 (7.86),-0.24 (-3.72),0.90 (-2.73),19.69% (99.05),-5.17% (-6.12)
10,CAPITALIZATION_WEIGHTED,-7.78% (3.61),-14.43% (0.04),60.17% (-4.78),-0.99 (-4.79),0.95 (-22.85),-0.24 (0.19),0.90 (1.33),8.40% (46.21),-5.17% (1.67)
10,EQUAL_WEIGHTED,-7.78% (8.42),-14.43% (0.65),60.17% (-12.60),0.14 (-1.03),0.83 (-34.35),-0.24 (0.64),0.90 (3.61),22.99% (92.66),-5.17% (14.03)
15,BITCOIN,-7.93% (-5.64),-20.09% (-1.94),61.42% (10.25),-2.05 (-9.85),1.05 (10.61),-0.33 (-2.13),0.90 (-1.63),21.95% (104.06),-5.23% (-8.98)
15,CAPITALIZATION_WEIGHTED,-7.93% (2.79),-20.09% (0.04),61.42% (-3.20),-2.35 (-18.46),0.98 (-16.51),-0.33 (-0.05),0.90 (1.11),5.94% (36.45),-5.23% (0.58)
15,EQUAL_WEIGHTED,-7.93% (10.31),-20.09% (0.37),61.42% (-11.04),-0.12 (-2.01),0.85 (-31.95),-0.33 (0.05),0.90 (3.80),20.73% (91.57),-5.23% (12.86)
