,,value,value,value,value,value,value,value,value,value
metric,,CVaR,Expected return,Expected volatility,Information ratio,Portfolio beta,Sharpe ratio,Tail ratio,Tracking error,VaR
Assets,ALLOC_BENCH,,,,,,,,,
3,BITCOIN,-8.57% (-11.20),-10.11% (-3.45),69.21% (19.68),-0.81 (-4.00),0.99 (-0.57),-0.15 (-4.13),0.98 (-0.74),43.24% (80.83),-6.19% (-16.19)
3,CAPITALIZATION_WEIGHTED,-8.57% (-1.84),-10.11% (-0.56),69.21% (7.80),-0.11 (-0.35),0.96 (-4.57),-0.15 (-0.40),0.98 (4.18),34.87% (86.28),-6.19% (-4.43)
3,EQUAL_WEIGHTED,-8.57% (6.38),-10.11% (1.59),69.21% (0.51),0.21 (0.81),0.87 (-15.30),-0.15 (1.47),0.98 (8.03),36.34% (81.28),-6.19% (5.78)
5,BITCOIN,-8.30% (-8.69),-16.91% (-3.42),65.36% (14.21),-1.24 (-6.72),1.02 (3.68),-0.26 (-3.73),0.91 (-2.96),33.83% (90.68),-5.84% (-12.72)
5,CAPITALIZATION_WEIGHTED,-8.30% (-0.82),-16.91% (0.61),65.36% (3.54),-0.47 (-1.36),0.98 (-4.14),-0.26 (0.65),0.91 (1.38),22.88% (79.27),-5.84% (-3.51)
5,EQUAL_WEIGHTED,-8.30% (4.11),-16.91% (-0.41),65.36% (-4.03),0.03 (0.98),0.89 (-17.41),-0.26 (-0.42),0.91 (2.42),24.96% (74.37),-5.84% (5.87)
8,BITCOIN,-8.39% (-10.12),-19.57% (-4.77),66.29% (14.26),-1.30 (-8.74),1.04 (3.73),-0.30 (-5.37),0.94 (-3.37),34.18% (65.62),-5.76% (-14.76)
8,CAPITALIZATION_WEIGHTED,-8.39% (-1.69),-19.57% (-0.03),66.29% (4.36),-0.70 (-4.66),1.01 (2.05),-0.30 (0.01),0.94 (1.38),19.10% (68.91),-5.76% (-2.49)
8,EQUAL_WEIGHTED,-8.39% (8.13),-19.57% (0.30),66.29% (-4.66),-0.11 (0.70),0.93 (-16.16),-0.30 (0.09),0.94 (5.16),17.67% (102.81),-5.76% (9.06)
10,BITCOIN,-8.44% (-9.67),-19.27% (-5.08),66.07% (14.59),-1.32 (-7.28),1.04 (5.84),-0.29 (-5.63),0.92 (-2.83),33.57% (71.79),-5.91% (-14.80)
10,CAPITALIZATION_WEIGHTED,-8.44% (-2.15),-19.27% (0.36),66.07% (5.86),-0.73 (-2.48),1.02 (5.39),-0.29 (0.52),0.92 (2.39),17.90% (87.40),-5.91% (-6.23)
10,EQUAL_WEIGHTED,-8.44% (5.26),-19.27% (1.82),66.07% (-4.07),-0.12 (0.20),0.94 (-19.34),-0.29 (1.98),0.92 (4.49),14.26% (87.34),-5.91% (7.53)
15,BITCOIN,-8.66% (-10.23),-25.40% (-2.91),66.95% (17.19),-1.46 (-6.21),1.05 (7.12),-0.38 (-3.04),0.87 (-3.32),34.55% (81.00),-6.12% (-15.24)
15,CAPITALIZATION_WEIGHTED,-8.66% (-2.60),-25.40% (0.59),66.95% (5.22),-1.06 (-4.92),1.03 (7.72),-0.38 (0.66),0.87 (-0.18),18.20% (91.85),-6.12% (-5.48)
15,EQUAL_WEIGHTED,-8.66% (5.40),-25.40% (0.63),66.95% (-2.84),-0.90 (-6.10),0.97 (-21.14),-0.38 (0.64),0.87 (3.42),8.72% (97.08),-6.12% (4.43)
