,,value,value,value,value,value,value,value,value,value
metric,,CVaR,Expected return,Expected volatility,Information ratio,Portfolio beta,Sharpe ratio,Tail ratio,Tracking error,VaR
Assets,ALLOC_BENCH,,,,,,,,,
3,BITCOIN,-9.45% (-12.35),35.62% (1.86),81.31% (24.00),0.17 (1.58),0.97 (-2.09),0.44 (0.83),1.15 (5.26),61.53% (68.06),-6.19% (-13.81)
3,CAPITALIZATION_WEIGHTED,-9.45% (-7.58),35.62% (3.01),81.31% (18.75),0.74 (3.45),0.94 (-3.59),0.44 (3.01),1.15 (6.89),56.17% (75.61),-6.19% (-6.40)
3,EQUAL_WEIGHTED,-9.45% (-1.13),35.62% (4.66),81.31% (14.79),0.94 (5.88),0.86 (-10.39),0.44 (4.81),1.15 (10.01),56.75% (86.24),-6.19% (1.87)
5,BITCOIN,-9.00% (-9.16),28.92% (0.23),79.54% (22.49),0.07 (-0.26),0.99 (-0.54),0.36 (-0.66),1.18 (4.95),58.05% (74.55),-5.81% (-14.99)
5,CAPITALIZATION_WEIGHTED,-9.00% (-5.57),28.92% (3.09),79.54% (19.74),0.68 (3.35),0.97 (-1.46),0.36 (3.07),1.18 (8.08),51.37% (73.08),-5.81% (-6.27)
5,EQUAL_WEIGHTED,-9.00% (2.81),28.92% (3.59),79.54% (7.58),0.90 (4.17),0.89 (-8.77),0.36 (3.64),1.18 (10.40),51.78% (67.69),-5.81% (5.49)
8,BITCOIN,-9.51% (-9.73),-13.06% (-0.89),77.17% (19.26),-0.71 (-2.19),1.01 (1.12),-0.17 (-1.65),1.01 (4.90),53.77% (70.88),-6.21% (-12.70)
8,CAPITALIZATION_WEIGHTED,-9.51% (-6.10),-13.06% (-0.49),77.17% (13.99),-0.15 (-3.21),0.99 (-1.69),-0.17 (-0.54),1.01 (3.17),46.16% (78.41),-6.21% (-6.81)
8,EQUAL_WEIGHTED,-9.51% (-2.37),-13.06% (0.35),77.17% (7.39),0.10 (0.93),0.90 (-10.15),-0.17 (0.48),1.01 (5.11),46.68% (85.48),-6.21% (4.62)
10,BITCOIN,-9.40% (-12.05),-7.81% (-3.02),77.42% (22.56),-0.61 (-2.41),1.01 (1.46),-0.10 (-3.93),1.04 (1.83),53.94% (71.20),-6.07% (-13.64)
10,CAPITALIZATION_WEIGHTED,-9.40% (-6.32),-7.81% (0.61),77.42% (13.65),-0.04 (-0.12),0.99 (-0.97),-0.10 (0.51),1.04 (4.82),46.06% (76.30),-6.07% (-5.24)
10,EQUAL_WEIGHTED,-9.40% (-0.65),-7.81% (-0.53),77.42% (6.50),0.21 (0.66),0.91 (-9.63),-0.10 (-0.52),1.04 (6.13),46.23% (79.09),-6.07% (5.29)
15,BITCOIN,-9.46% (-11.61),4.85% (-0.89),78.92% (24.53),-0.36 (-2.55),1.02 (0.55),0.06 (-1.66),1.07 (2.41),55.64% (82.01),-6.09% (-15.20)
15,CAPITALIZATION_WEIGHTED,-9.46% (-7.59),4.85% (0.18),78.92% (15.99),0.23 (1.73),1.00 (0.94),0.06 (0.04),1.07 (5.13),47.80% (87.99),-6.09% (-7.19)
15,EQUAL_WEIGHTED,-9.46% (-0.69),4.85% (0.72),78.92% (10.13),0.48 (3.65),0.93 (-7.09),0.06 (0.92),1.07 (8.81),46.94% (85.31),-6.09% (3.32)
