,,value,value,value,value,value,value,value,value,value
metric,,CVaR,Expected return,Expected volatility,Information ratio,Portfolio beta,Sharpe ratio,Tail ratio,Tracking error,VaR
Assets,ALLOC_BENCH,,,,,,,,,
3,BITCOIN,-8.11% (-6.61),-20.13% (-3.93),65.16% (15.68),-1.14 (-6.27),0.95 (-6.23),-0.31 (-4.30),0.97 (0.21),39.58% (94.84),-5.81% (-14.19)
3,CAPITALIZATION_WEIGHTED,-8.11% (0.72),-20.13% (-0.37),65.16% (1.70),-0.42 (-3.62),0.90 (-12.15),-0.31 (-0.29),0.97 (2.03),32.98% (94.88),-5.81% (-3.44)
3,EQUAL_WEIGHTED,-8.11% (7.87),-20.13% (-0.53),65.16% (-5.79),-0.07 (-1.29),0.82 (-21.85),-0.31 (-0.49),0.97 (6.01),34.58% (90.69),-5.81% (7.13)
5,BITCOIN,-7.91% (-5.74),-18.02% (-3.42),61.78% (9.52),-1.41 (-8.93),0.98 (-0.90),-0.29 (-3.45),0.90 (-2.18),30.50% (102.21),-5.59% (-10.87)
5,CAPITALIZATION_WEIGHTED,-7.91% (1.27),-18.02% (-1.68),61.78% (-2.25),-0.55 (-2.15),0.93 (-14.43),-0.29 (-1.76),0.90 (-1.67),21.62% (87.68),-5.59% (-2.74)
5,EQUAL_WEIGHTED,-7.91% (11.12),-18.02% (0.25),61.78% (-11.04),-0.02 (0.34),0.84 (-26.68),-0.29 (0.30),0.90 (3.53),24.35% (67.67),-5.59% (10.84)
8,BITCOIN,-8.07% (-6.93),-16.99% (-2.59),64.58% (11.00),-1.25 (-5.39),1.01 (2.65),-0.26 (-3.30),0.95 (-0.38),33.64% (38.45),-5.66% (-12.52)
8,CAPITALIZATION_WEIGHTED,-8.07% (-1.75),-16.99% (-1.38),64.58% (1.61),-0.52 (-5.39),0.98 (-5.46),-0.26 (-1.38),0.95 (-0.76),20.72% (38.97),-5.66% (-3.44)
8,EQUAL_WEIGHTED,-8.07% (6.06),-16.99% (-1.21),64.58% (-5.48),0.03 (-0.17),0.90 (-16.52),-0.26 (-1.55),0.95 (2.74),19.85% (57.75),-5.66% (8.86)
10,BITCOIN,-8.15% (-7.36),-18.24% (-4.03),64.43% (10.53),-1.31 (-8.96),1.01 (0.64),-0.28 (-4.06),0.93 (-3.88),32.92% (61.37),-5.87% (-11.86)
10,CAPITALIZATION_WEIGHTED,-8.15% (0.64),-18.24% (0.08),64.43% (1.51),-0.64 (-3.99),0.98 (-2.03),-0.28 (0.26),0.93 (2.30),18.96% (45.78),-5.87% (-1.50)
10,EQUAL_WEIGHTED,-8.15% (6.63),-18.24% (0.61),64.43% (-5.54),-0.04 (-1.73),0.91 (-25.07),-0.28 (0.55),0.93 (3.42),16.18% (71.01),-5.87% (7.94)
15,BITCOIN,-8.44% (-7.16),-24.41% (-2.15),65.78% (12.53),-1.45 (-8.70),1.03 (3.91),-0.37 (-2.47),0.89 (-1.25),34.02% (68.53),-6.08% (-13.06)
15,CAPITALIZATION_WEIGHTED,-8.44% (-2.30),-24.41% (-3.63),65.78% (3.19),-0.97 (-6.47),1.01 (2.50),-0.37 (-3.56),0.89 (-2.50),18.75% (79.94),-6.08% (-6.10)
15,EQUAL_WEIGHTED,-8.44% (5.69),-24.41% (0.61),65.78% (-5.85),-0.65 (-5.58),0.95 (-18.54),-0.37 (0.71),0.89 (2.69),10.56% (79.98),-6.08% (5.90)
