,,value,value,value,value,value,value,value,value,value
metric,,CVaR,Expected return,Expected volatility,Information ratio,Portfolio beta,Sharpe ratio,Tail ratio,Tracking error,VaR
Assets,ALLOC_BENCH,,,,,,,,,
3,BITCOIN,-10.20% (-14.42),-18.34% (-2.95),79.55% (25.09),-0.85 (-5.40),1.12 (9.09),-0.23 (-3.71),0.92 (-2.28),50.91% (69.93),-6.88% (-20.12)
3,CAPITALIZATION_WEIGHTED,-10.20% (-10.39),-18.34% (-0.11),79.55% (18.57),-0.30 (-2.27),1.10 (11.58),-0.23 (0.15),0.92 (1.71),40.60% (80.97),-6.88% (-12.23)
3,EQUAL_WEIGHTED,-10.20% (-4.86),-18.34% (0.29),79.55% (11.08),-0.02 (-1.33),0.98 (-3.64),-0.23 (0.45),0.92 (3.41),42.27% (78.88),-6.88% (-2.09)
5,BITCOIN,-9.03% (-11.22),-23.91% (-2.65),69.04% (17.81),-1.36 (-7.40),1.08 (10.49),-0.35 (-2.97),0.85 (-5.14),35.85% (90.89),-6.34% (-14.82)
5,CAPITALIZATION_WEIGHTED,-9.03% (-8.78),-23.91% (-3.07),69.04% (11.27),-0.69 (-4.01),1.02 (6.23),-0.35 (-2.88),0.85 (-4.36),25.80% (82.50),-6.34% (-11.12)
5,EQUAL_WEIGHTED,-9.03% (0.33),-23.91% (-1.14),69.04% (1.76),-0.20 (-1.77),0.90 (-17.12),-0.35 (-1.13),0.85 (1.38),31.81% (84.56),-6.34% (-0.44)
8,BITCOIN,-8.29% (-8.93),-13.52% (-3.89),64.58% (11.90),-1.38 (-9.89),1.06 (7.90),-0.21 (-4.30),0.89 (-7.10),27.97% (77.20),-5.69% (-11.25)
8,CAPITALIZATION_WEIGHTED,-8.29% (-0.58),-13.52% (-0.47),64.58% (2.28),-0.44 (-3.84),1.00 (-1.91),-0.21 (-0.32),0.89 (0.32),16.69% (61.33),-5.69% (-2.21)
8,EQUAL_WEIGHTED,-8.29% (3.56),-13.52% (-0.35),64.58% (-4.57),0.15 (0.26),0.87 (-22.28),-0.21 (-0.27),0.89 (2.09),26.49% (82.23),-5.69% (6.21)
10,BITCOIN,-8.18% (-4.11),-18.49% (-2.78),63.47% (10.54),-1.62 (-11.88),1.05 (7.49),-0.29 (-3.02),0.87 (-0.70),26.84% (69.59),-5.61% (-8.97)
10,CAPITALIZATION_WEIGHTED,-8.18% (-1.97),-18.49% (-2.02),63.47% (2.40),-0.81 (-5.37),0.99 (-2.89),-0.29 (-2.02),0.87 (-1.78),15.16% (61.76),-5.61% (-3.02)
10,EQUAL_WEIGHTED,-8.18% (4.69),-18.49% (0.40),63.47% (-7.30),-0.04 (-1.34),0.86 (-25.94),-0.29 (0.55),0.87 (1.54),25.40% (90.21),-5.61% (9.47)
15,BITCOIN,-8.04% (-5.62),-21.95% (-3.93),62.55% (9.37),-2.01 (-11.30),1.06 (10.15),-0.35 (-4.18),0.90 (-2.95),23.32% (75.05),-5.37% (-10.17)
15,CAPITALIZATION_WEIGHTED,-8.04% (1.33),-21.95% (-0.55),62.55% (-0.61),-2.20 (-14.62),0.99 (-2.47),-0.35 (-0.41),0.90 (1.59),7.20% (45.11),-5.37% (0.88)
15,EQUAL_WEIGHTED,-8.04% (7.96),-21.95% (-0.63),62.55% (-9.53),-0.21 (-0.71),0.87 (-30.37),-0.35 (-0.58),0.90 (3.17),21.26% (90.96),-5.37% (12.29)
