,,value,value,value,value,value,value,value,value,value
metric,,CVaR,Expected return,Expected volatility,Information ratio,Portfolio beta,Sharpe ratio,Tail ratio,Tracking error,VaR
Assets,ALLOC_BENCH,,,,,,,,,
3,BITCOIN,-9.94% (-13.75),-10.63% (-1.74),79.86% (23.71),-0.74 (-5.65),1.18 (11.75),-0.13 (-2.80),0.96 (0.51),48.06% (77.38),-7.21% (-17.53)
3,CAPITALIZATION_WEIGHTED,-9.94% (-8.10),-10.63% (0.79),79.86% (16.92),-0.12 (0.13),1.15 (18.17),-0.13 (0.77),0.96 (2.93),35.96% (80.27),-7.21% (-10.84)
3,EQUAL_WEIGHTED,-9.94% (-3.79),-10.63% (-0.52),79.86% (10.35),0.21 (0.16),1.06 (5.45),-0.13 (-0.30),0.96 (4.01),33.65% (75.14),-7.21% (-3.26)
5,BITCOIN,-8.94% (-12.68),-6.02% (-1.31),72.26% (19.28),-0.77 (-3.45),1.10 (8.44),-0.08 (-1.99),0.97 (-1.01),40.39% (86.06),-6.53% (-18.43)
5,CAPITALIZATION_WEIGHTED,-8.94% (-3.97),-6.02% (0.23),72.26% (9.64),0.00 (1.03),1.08 (12.21),-0.08 (0.34),0.97 (2.96),26.25% (89.24),-6.53% (-8.00)
5,EQUAL_WEIGHTED,-8.94% (0.68),-6.02% (0.31),72.26% (4.00),0.49 (2.31),0.99 (-2.90),-0.08 (0.27),0.97 (4.45),23.58% (107.48),-6.53% (-0.61)
8,BITCOIN,-8.64% (-10.29),-10.14% (-3.07),69.45% (17.39),-0.95 (-6.57),1.07 (7.83),-0.15 (-3.63),0.94 (-2.56),37.15% (69.98),-6.06% (-16.97)
8,CAPITALIZATION_WEIGHTED,-8.64% (-3.98),-10.14% (0.46),69.45% (10.09),-0.19 (-0.60),1.06 (10.78),-0.15 (0.46),0.94 (1.34),21.49% (73.49),-6.06% (-7.40)
8,EQUAL_WEIGHTED,-8.64% (2.49),-10.14% (0.18),69.45% (2.67),0.42 (4.21),0.98 (-3.87),-0.15 (0.30),0.94 (4.82),17.80% (91.83),-6.06% (3.95)
10,BITCOIN,-8.50% (-8.84),-16.57% (-2.65),66.87% (17.19),-1.20 (-5.82),1.04 (5.35),-0.25 (-3.05),0.90 (-1.75),34.72% (77.15),-5.99% (-15.62)
10,CAPITALIZATION_WEIGHTED,-8.50% (-1.48),-16.57% (0.42),66.87% (5.70),-0.55 (-2.22),1.03 (4.63),-0.25 (0.64),0.90 (1.54),18.91% (85.57),-5.99% (-3.38)
10,EQUAL_WEIGHTED,-8.50% (4.71),-16.57% (0.64),66.87% (-2.73),0.07 (2.05),0.95 (-15.07),-0.25 (0.76),0.90 (4.21),14.31% (89.37),-5.99% (6.32)
15,BITCOIN,-8.66% (-8.98),-26.84% (-4.73),67.04% (16.05),-1.49 (-10.47),1.05 (5.77),-0.40 (-5.14),0.87 (-3.92),34.88% (81.17),-6.21% (-14.63)
15,CAPITALIZATION_WEIGHTED,-8.66% (-3.80),-26.84% (-0.94),67.04% (7.14),-1.12 (-4.46),1.03 (7.58),-0.40 (-0.95),0.87 (-0.28),18.53% (91.21),-6.21% (-7.61)
15,EQUAL_WEIGHTED,-8.66% (3.76),-26.84% (-1.29),67.04% (-3.24),-0.99 (-6.24),0.97 (-18.89),-0.40 (-1.15),0.87 (2.38),9.33% (86.94),-6.21% (3.48)
