,,value,value,value,value,value,value,value,value,value
metric,,CVaR,Expected return,Expected volatility,Information ratio,Portfolio beta,Sharpe ratio,Tail ratio,Tracking error,VaR
Assets,ALLOC_BENCH,,,,,,,,,
3,BITCOIN,-9.65% (-12.79),-16.26% (-2.24),77.45% (21.20),-0.90 (-4.91),1.15 (12.74),-0.21 (-3.09),0.95 (0.55),45.68% (59.66),-6.69% (-17.32)
3,CAPITALIZATION_WEIGHTED,-9.65% (-8.88),-16.26% (-0.69),77.45% (14.05),-0.29 (-2.10),1.11 (11.86),-0.21 (-0.57),0.95 (1.04),35.14% (64.22),-6.69% (-11.24)
3,EQUAL_WEIGHTED,-9.65% (-3.71),-16.26% (-0.03),77.45% (8.60),0.04 (-0.08),1.02 (3.23),-0.21 (0.06),0.95 (3.45),32.87% (70.75),-6.69% (-0.86)
5,BITCOIN,-8.60% (-9.10),-7.66% (-1.63),69.65% (15.94),-0.85 (-3.15),1.07 (6.97),-0.11 (-2.21),0.97 (1.26),38.22% (71.09),-6.20% (-13.56)
5,CAPITALIZATION_WEIGHTED,-8.60% (-3.70),-7.66% (-1.06),69.65% (7.23),-0.06 (-0.83),1.03 (5.31),-0.11 (-1.22),0.97 (1.39),25.76% (83.09),-6.20% (-8.83)
5,EQUAL_WEIGHTED,-8.60% (6.32),-7.66% (0.73),69.65% (-3.11),0.42 (3.87),0.96 (-8.71),-0.11 (0.72),0.97 (3.97),23.36% (97.19),-6.20% (4.70)
8,BITCOIN,-8.40% (-8.71),-8.15% (-2.93),68.26% (14.83),-0.90 (-5.89),1.05 (6.11),-0.12 (-3.63),0.95 (-1.04),36.95% (49.02),-5.98% (-16.76)
8,CAPITALIZATION_WEIGHTED,-8.40% (-1.40),-8.15% (-1.34),68.26% (4.36),-0.09 (-1.83),1.03 (2.97),-0.12 (-1.43),0.95 (1.24),22.91% (44.87),-5.98% (-5.00)
8,EQUAL_WEIGHTED,-8.40% (5.94),-8.15% (0.70),68.26% (-3.24),0.48 (1.10),0.95 (-10.37),-0.12 (0.81),0.95 (3.88),19.69% (65.33),-5.98% (6.15)
10,BITCOIN,-8.24% (-7.66),-14.11% (-3.94),65.34% (11.66),-1.14 (-6.16),1.02 (3.36),-0.22 (-4.16),0.91 (-2.61),34.27% (55.37),-5.77% (-13.20)
10,CAPITALIZATION_WEIGHTED,-8.24% (-0.62),-14.11% (-1.27),65.34% (2.01),-0.40 (-4.64),0.99 (-2.14),-0.22 (-1.07),0.91 (0.01),20.16% (53.67),-5.77% (-3.18)
10,EQUAL_WEIGHTED,-8.24% (8.23),-14.11% (1.30),65.34% (-6.31),0.21 (-0.66),0.92 (-20.31),-0.22 (1.09),0.91 (3.08),16.24% (60.49),-5.77% (11.60)
15,BITCOIN,-8.44% (-9.41),-26.17% (-4.60),66.00% (14.26),-1.48 (-8.41),1.03 (4.52),-0.40 (-4.84),0.89 (-5.04),34.49% (68.25),-6.10% (-15.67)
15,CAPITALIZATION_WEIGHTED,-8.44% (-3.64),-26.17% (-2.47),66.00% (5.56),-1.04 (-8.10),1.01 (3.83),-0.40 (-2.51),0.89 (-1.02),19.21% (65.98),-6.10% (-6.72)
15,EQUAL_WEIGHTED,-8.44% (5.93),-26.17% (-0.74),66.00% (-5.46),-0.77 (-3.06),0.95 (-18.76),-0.40 (-0.76),0.89 (2.23),11.20% (69.34),-6.10% (4.63)
