,,value,value,value,value,value,value,value,value,value
metric,,CVaR,Expected return,Expected volatility,Information ratio,Portfolio beta,Sharpe ratio,Tail ratio,Tracking error,VaR
Assets,ALLOC_BENCH,,,,,,,,,
3,BITCOIN,-9.34% (-10.24),-23.06% (-1.73),76.72% (15.17),-0.95 (-5.35),1.06 (3.21),-0.30 (-2.77),0.96 (-0.68),50.52% (44.49),-6.12% (-21.46)
3,CAPITALIZATION_WEIGHTED,-9.34% (-6.07),-23.06% (-1.68),76.72% (10.40),-0.42 (-3.48),1.04 (4.07),-0.30 (-1.49),0.96 (2.35),40.48% (50.82),-6.12% (-9.63)
3,EQUAL_WEIGHTED,-9.34% (-1.50),-23.06% (-1.06),76.72% (5.13),-0.15 (-2.68),0.97 (-3.18),-0.30 (-0.94),0.96 (3.74),37.59% (56.64),-6.12% (2.18)
5,BITCOIN,-9.24% (-9.93),-18.24% (-2.50),74.78% (16.39),-0.95 (-4.51),1.09 (6.40),-0.24 (-3.07),0.94 (-1.76),45.63% (52.73),-6.56% (-20.50)
5,CAPITALIZATION_WEIGHTED,-9.24% (-5.29),-18.24% (-0.73),74.78% (9.83),-0.36 (-2.37),1.07 (4.85),-0.24 (-0.71),0.94 (1.74),34.05% (63.90),-6.56% (-9.86)
5,EQUAL_WEIGHTED,-9.24% (0.21),-18.24% (-0.43),74.78% (4.11),-0.02 (1.02),0.99 (-3.32),-0.24 (-0.11),0.94 (4.67),30.58% (70.82),-6.56% (1.11)
8,BITCOIN,-9.58% (-11.89),-11.18% (-3.17),73.67% (19.60),-0.89 (-6.17),1.13 (11.71),-0.15 (-3.54),0.90 (-2.17),40.78% (57.92),-6.20% (-14.10)
8,CAPITALIZATION_WEIGHTED,-9.58% (-7.15),-11.18% (0.44),73.67% (10.92),-0.18 (-1.82),1.09 (12.03),-0.15 (0.35),0.90 (1.27),27.85% (53.70),-6.20% (-6.76)
8,EQUAL_WEIGHTED,-9.58% (-2.73),-11.18% (-1.04),73.67% (4.49),0.25 (-0.20),1.01 (-0.29),-0.15 (-0.85),0.90 (1.01),25.58% (87.20),-6.20% (-0.49)
10,BITCOIN,-9.38% (-14.13),-14.35% (-3.31),71.59% (22.37),-1.03 (-6.07),1.11 (14.80),-0.20 (-3.73),0.89 (-3.30),38.32% (57.55),-6.14% (-13.57)
10,CAPITALIZATION_WEIGHTED,-9.38% (-7.69),-14.35% (-0.91),71.59% (10.52),-0.34 (-2.73),1.08 (12.85),-0.20 (-0.78),0.89 (-1.21),24.51% (57.33),-6.14% (-5.96)
10,EQUAL_WEIGHTED,-9.38% (-0.74),-14.35% (-0.26),71.59% (2.47),0.14 (1.07),0.98 (-4.54),-0.20 (-0.02),0.89 (2.58),23.47% (82.38),-6.14% (1.35)
15,BITCOIN,-8.22% (-8.68),-20.53% (-5.25),65.08% (14.65),-1.63 (-9.67),1.08 (11.61),-0.32 (-5.62),0.94 (-4.48),27.92% (56.78),-5.35% (-11.60)
15,CAPITALIZATION_WEIGHTED,-8.22% (-0.76),-20.53% (0.56),65.08% (3.79),-1.20 (-5.97),1.02 (9.24),-0.32 (0.54),0.94 (1.97),12.03% (31.98),-5.35% (-1.91)
15,EQUAL_WEIGHTED,-8.22% (8.56),-20.53% (-0.12),65.08% (-7.11),-0.14 (-0.50),0.90 (-20.82),-0.32 (-0.31),0.94 (5.35),21.23% (77.84),-5.35% (10.71)
