,,value,value,value,value,value,value,value,value,value
metric,,CVaR,Expected return,Expected volatility,Information ratio,Portfolio beta,Sharpe ratio,Tail ratio,Tracking error,VaR
Assets,ALLOC_BENCH,,,,,,,,,
3,BITCOIN,-9.15% (-11.47),-9.59% (-3.14),73.22% (17.03),-0.76 (-5.37),1.05 (3.71),-0.13 (-4.07),0.93 (-2.34),45.21% (55.35),-6.25% (-21.50)
3,CAPITALIZATION_WEIGHTED,-9.15% (-4.86),-9.59% (0.28),73.22% (8.33),-0.10 (-0.68),1.03 (2.57),-0.13 (0.46),0.93 (1.43),34.45% (63.10),-6.25% (-6.38)
3,EQUAL_WEIGHTED,-9.15% (2.48),-9.59% (2.98),73.22% (3.55),0.27 (3.62),0.98 (-2.20),-0.13 (2.90),0.93 (5.89),29.09% (58.54),-6.25% (3.38)
5,BITCOIN,-9.18% (-11.78),0.75% (-1.58),72.19% (17.67),-0.57 (-2.74),1.07 (6.65),0.01 (-2.20),0.91 (-1.38),42.49% (62.93),-6.62% (-20.08)
5,CAPITALIZATION_WEIGHTED,-9.18% (-5.85),0.75% (-0.95),72.19% (9.13),0.23 (2.15),1.05 (6.26),0.01 (-0.56),0.91 (-1.58),30.29% (96.03),-6.62% (-9.80)
5,EQUAL_WEIGHTED,-9.18% (-0.93),0.75% (0.49),72.19% (3.29),0.82 (4.87),1.00 (-0.88),0.01 (0.57),0.91 (2.06),22.49% (83.22),-6.62% (-0.84)
8,BITCOIN,-9.40% (-14.03),-10.87% (-2.53),72.17% (20.17),-0.90 (-3.58),1.10 (8.53),-0.15 (-3.13),0.88 (-4.51),39.91% (76.04),-7.03% (-15.70)
8,CAPITALIZATION_WEIGHTED,-9.40% (-7.52),-10.87% (-2.20),72.17% (11.40),-0.18 (-1.68),1.08 (9.52),-0.15 (-1.70),0.88 (-1.72),26.57% (80.70),-7.03% (-9.20)
8,EQUAL_WEIGHTED,-9.40% (-1.29),-10.87% (-0.38),72.17% (4.10),0.41 (2.81),1.02 (7.93),-0.15 (-0.16),0.88 (2.22),16.22% (96.86),-7.03% (-0.55)
10,BITCOIN,-9.35% (-13.70),-18.62% (-2.58),71.18% (20.66),-1.14 (-6.76),1.10 (10.54),-0.26 (-3.01),0.86 (-5.83),38.39% (80.17),-6.60% (-14.32)
10,CAPITALIZATION_WEIGHTED,-9.35% (-4.82),-18.62% (-0.07),71.18% (8.20),-0.52 (-2.75),1.07 (11.74),-0.26 (0.27),0.86 (0.32),23.89% (76.14),-6.60% (-6.90)
10,EQUAL_WEIGHTED,-9.35% (0.81),-18.62% (1.35),71.18% (1.04),-0.08 (1.75),1.02 (4.06),-0.26 (1.61),0.86 (3.07),13.06% (109.41),-6.60% (1.23)
15,BITCOIN,-9.18% (-12.93),-31.82% (-6.13),70.52% (20.93),-1.52 (-9.69),1.10 (10.60),-0.45 (-6.51),0.85 (-5.90),37.31% (87.63),-6.66% (-15.58)
15,CAPITALIZATION_WEIGHTED,-9.18% (-3.92),-31.82% (-1.83),70.52% (8.08),-1.24 (-6.69),1.08 (15.81),-0.45 (-1.57),0.85 (-1.68),20.75% (112.99),-6.66% (-7.33)
15,EQUAL_WEIGHTED,-9.18% (1.64),-31.82% (-2.73),70.52% (-0.44),-1.76 (-13.38),1.02 (16.26),-0.45 (-2.59),0.85 (0.39),8.07% (86.11),-6.66% (0.61)
