,,value,value,value,value,value,value,value,value,value
metric,,CVaR,Expected return,Expected volatility,Information ratio,Portfolio beta,Sharpe ratio,Tail ratio,Tracking error,VaR
Assets,ALLOC_BENCH,,,,,,,,,
3,BITCOIN,-10.01% (-14.83),22.45% (-1.10),94.23% (16.22),-0.03 (-2.17),1.07 (3.98),0.24 (-2.40),1.14 (1.47),73.97% (32.14),-6.71% (-24.34)
3,CAPITALIZATION_WEIGHTED,-10.01% (-9.29),22.45% (2.58),94.23% (11.05),0.45 (1.47),1.11 (5.69),0.24 (1.68),1.14 (5.34),63.94% (25.58),-6.71% (-12.53)
3,EQUAL_WEIGHTED,-10.01% (-3.13),22.45% (4.11),94.23% (9.34),0.67 (3.12),1.06 (2.57),0.24 (4.05),1.14 (6.42),59.66% (30.07),-6.71% (-0.52)
5,BITCOIN,-10.70% (-18.12),56.11% (1.39),101.92% (21.50),0.38 (0.99),1.11 (5.57),0.55 (-0.22),1.25 (5.26),82.14% (36.79),-7.43% (-23.15)
5,CAPITALIZATION_WEIGHTED,-10.70% (-11.74),56.11% (3.61),101.92% (15.10),0.87 (2.85),1.17 (7.98),0.55 (2.98),1.25 (7.19),71.76% (30.22),-7.43% (-14.85)
5,EQUAL_WEIGHTED,-10.70% (-7.85),56.11% (3.64),101.92% (13.46),1.10 (4.18),1.12 (6.47),0.55 (3.30),1.25 (8.04),67.01% (30.43),-7.43% (-5.93)
8,BITCOIN,-10.40% (-16.72),16.43% (-0.35),97.25% (19.53),-0.12 (-2.56),1.22 (14.98),0.17 (-2.13),1.20 (4.84),71.54% (32.24),-7.31% (-25.90)
8,CAPITALIZATION_WEIGHTED,-10.40% (-11.39),16.43% (1.25),97.25% (13.11),0.37 (-0.37),1.22 (9.24),0.17 (0.26),1.20 (5.58),61.77% (24.41),-7.31% (-16.63)
8,EQUAL_WEIGHTED,-10.40% (-6.04),16.43% (1.91),97.25% (13.14),0.58 (2.65),1.14 (7.09),0.17 (1.92),1.20 (8.35),58.79% (33.17),-7.31% (-5.60)
10,BITCOIN,-10.06% (-14.55),6.52% (-0.80),92.46% (16.54),-0.27 (-3.35),1.16 (12.38),0.07 (-2.17),1.16 (3.93),67.58% (27.99),-6.79% (-20.58)
10,CAPITALIZATION_WEIGHTED,-10.06% (-10.46),6.52% (-0.45),92.46% (12.91),0.22 (-1.86),1.16 (8.23),0.07 (-0.64),1.16 (4.41),57.91% (27.97),-6.79% (-13.94)
10,EQUAL_WEIGHTED,-10.06% (-2.67),6.52% (1.95),92.46% (8.13),0.44 (1.00),1.08 (3.77),0.07 (1.62),1.16 (7.57),55.15% (25.07),-6.79% (-1.97)
15,BITCOIN,-9.93% (-15.56),18.70% (0.72),93.62% (18.55),-0.09 (-0.30),1.15 (11.24),0.20 (-0.70),1.22 (4.54),69.92% (30.69),-6.79% (-19.83)
15,CAPITALIZATION_WEIGHTED,-9.93% (-10.08),18.70% (1.08),93.62% (12.59),0.41 (-0.30),1.16 (7.97),0.20 (0.40),1.22 (6.68),60.11% (25.54),-6.79% (-12.45)
15,EQUAL_WEIGHTED,-9.93% (-4.11),18.70% (2.99),93.62% (10.43),0.64 (2.02),1.09 (5.32),0.20 (2.57),1.22 (8.66),56.65% (24.95),-6.79% (-1.93)
