,,value,value,value,value,value,value,value,value,value
metric,,CVaR,Expected return,Expected volatility,Information ratio,Portfolio beta,Sharpe ratio,Tail ratio,Tracking error,VaR
Assets,ALLOC_BENCH,,,,,,,,,
3,BITCOIN,-9.09% (-9.93),-0.30% (-2.99),72.52% (12.33),-0.56 (-4.57),1.04 (3.04),-0.00 (-3.57),0.94 (-2.11),45.18% (44.16),-6.10% (-14.31)
3,CAPITALIZATION_WEIGHTED,-9.09% (-4.63),-0.30% (0.17),72.52% (7.15),0.17 (-0.67),1.02 (0.32),-0.00 (0.35),0.94 (1.46),34.75% (57.01),-6.10% (-4.23)
3,EQUAL_WEIGHTED,-9.09% (0.88),-0.30% (2.40),72.52% (1.21),0.58 (1.82),0.96 (-6.30),-0.00 (2.44),0.94 (2.97),29.97% (63.30),-6.10% (5.88)
5,BITCOIN,-9.09% (-10.15),-0.05% (-2.35),70.47% (14.19),-0.61 (-4.03),1.05 (4.01),-0.00 (-2.81),0.88 (-3.36),40.77% (61.04),-6.25% (-18.21)
5,CAPITALIZATION_WEIGHTED,-9.09% (-5.52),-0.05% (0.27),70.47% (8.11),0.21 (-0.12),1.03 (3.72),-0.00 (0.24),0.88 (-0.35),28.89% (78.19),-6.25% (-8.86)
5,EQUAL_WEIGHTED,-9.09% (1.12),-0.05% (-0.22),70.47% (-0.37),0.81 (4.62),0.98 (-5.81),-0.00 (0.02),0.88 (1.40),21.66% (89.72),-6.25% (3.12)
8,BITCOIN,-9.30% (-10.60),-9.67% (-1.91),70.99% (17.33),-0.89 (-4.69),1.08 (8.46),-0.14 (-2.24),0.88 (-2.70),39.15% (72.65),-6.72% (-13.12)
8,CAPITALIZATION_WEIGHTED,-9.30% (-7.90),-9.67% (-3.03),70.99% (10.51),-0.13 (-3.51),1.05 (7.79),-0.14 (-2.63),0.88 (-1.81),26.37% (94.56),-6.72% (-6.88)
8,EQUAL_WEIGHTED,-9.30% (0.26),-9.67% (0.00),70.99% (1.70),0.48 (1.19),1.00 (1.30),-0.14 (0.19),0.88 (2.08),16.44% (103.08),-6.72% (2.01)
10,BITCOIN,-9.24% (-10.10),-19.59% (-3.90),69.88% (16.49),-1.19 (-7.63),1.08 (7.18),-0.28 (-4.07),0.86 (-4.04),37.41% (67.00),-6.28% (-12.48)
10,CAPITALIZATION_WEIGHTED,-9.24% (-5.74),-19.59% (-1.02),69.88% (9.80),-0.57 (-2.97),1.05 (9.30),-0.28 (-0.78),0.86 (-0.98),23.49% (87.18),-6.28% (-8.02)
10,EQUAL_WEIGHTED,-9.24% (0.30),-19.59% (0.23),69.88% (1.20),-0.15 (-0.48),1.00 (-1.20),-0.28 (0.44),0.86 (2.05),13.16% (114.90),-6.28% (1.99)
15,BITCOIN,-9.04% (-9.70),-31.59% (-3.56),69.37% (16.45),-1.55 (-8.75),1.08 (7.20),-0.46 (-3.95),0.86 (-4.10),36.39% (76.71),-6.44% (-14.59)
15,CAPITALIZATION_WEIGHTED,-9.04% (-5.11),-31.59% (-2.68),69.37% (7.09),-1.25 (-7.62),1.06 (12.68),-0.46 (-2.36),0.86 (-3.48),20.40% (87.54),-6.44% (-6.75)
15,EQUAL_WEIGHTED,-9.04% (0.72),-31.59% (-0.92),69.37% (0.45),-1.61 (-7.66),1.00 (1.97),-0.46 (-0.68),0.86 (1.81),8.69% (93.02),-6.44% (2.00)
