,,value,value,value,value,value,value,value,value,value
metric,,CVaR,Expected return,Expected volatility,Information ratio,Portfolio beta,Sharpe ratio,Tail ratio,Tracking error,VaR
Assets,ALLOC_BENCH,,,,,,,,,
3,BITCOIN,-8.88% (-12.80),-28.81% (-4.64),76.01% (14.49),-1.09 (-7.67),1.06 (6.82),-0.38 (-5.95),1.02 (1.62),49.15% (31.00),-6.28% (-16.65)
3,CAPITALIZATION_WEIGHTED,-8.88% (-5.97),-28.81% (-2.44),76.01% (8.86),-0.56 (-6.57),1.03 (2.43),-0.38 (-3.10),1.02 (2.11),40.27% (30.97),-6.28% (-9.44)
3,EQUAL_WEIGHTED,-8.88% (2.78),-28.81% (-1.27),76.01% (3.12),-0.27 (-2.59),0.93 (-7.24),-0.38 (-1.49),1.02 (4.42),41.68% (40.78),-6.28% (3.90)
5,BITCOIN,-8.85% (-10.05),-9.94% (-1.80),75.62% (12.23),-0.75 (-4.47),1.09 (8.15),-0.13 (-3.36),1.01 (1.89),46.39% (25.17),-6.17% (-14.85)
5,CAPITALIZATION_WEIGHTED,-8.85% (-6.52),-9.94% (-1.51),75.62% (9.11),-0.11 (-4.31),1.08 (6.51),-0.13 (-1.77),1.01 (1.73),34.38% (26.62),-6.17% (-10.19)
5,EQUAL_WEIGHTED,-8.85% (1.42),-9.94% (0.08),75.62% (4.67),0.20 (0.05),0.96 (-3.33),-0.13 (-0.34),1.01 (4.95),37.37% (35.31),-6.17% (2.07)
8,BITCOIN,-8.05% (-7.64),-23.56% (-5.22),64.90% (15.74),-1.57 (-8.86),1.04 (7.39),-0.36 (-5.69),0.97 (0.18),30.99% (40.30),-5.50% (-11.36)
8,CAPITALIZATION_WEIGHTED,-8.05% (-1.07),-23.56% (-4.17),64.90% (3.41),-0.94 (-6.63),0.99 (-1.12),-0.36 (-4.14),0.97 (1.27),18.60% (35.35),-5.50% (-3.16)
8,EQUAL_WEIGHTED,-8.05% (9.21),-23.56% (-0.05),64.90% (-7.17),-0.23 (-2.17),0.88 (-23.35),-0.36 (-0.26),0.97 (5.71),25.51% (79.95),-5.50% (11.49)
10,BITCOIN,-8.12% (-6.97),-14.28% (-5.05),64.78% (10.94),-1.39 (-8.45),1.07 (11.09),-0.22 (-5.45),0.97 (-1.67),28.27% (40.10),-5.74% (-11.29)
10,CAPITALIZATION_WEIGHTED,-8.12% (-0.61),-14.28% (-0.94),64.78% (3.57),-0.54 (-3.76),1.01 (1.90),-0.22 (-1.04),0.97 (2.69),15.05% (30.67),-5.74% (-2.03)
10,EQUAL_WEIGHTED,-8.12% (7.85),-14.28% (1.03),64.78% (-4.59),0.14 (1.23),0.88 (-17.42),-0.22 (0.81),0.97 (6.31),23.93% (76.02),-5.74% (10.83)
15,BITCOIN,-8.05% (-6.77),-13.85% (-4.43),64.14% (13.66),-1.52 (-9.54),1.08 (14.54),-0.22 (-4.91),0.96 (-1.53),25.50% (78.25),-5.33% (-12.09)
15,CAPITALIZATION_WEIGHTED,-8.05% (0.58),-13.85% (-1.04),64.14% (2.16),-0.91 (-7.08),1.02 (11.79),-0.22 (-0.91),0.96 (2.77),8.49% (32.73),-5.33% (-1.55)
15,EQUAL_WEIGHTED,-8.05% (6.09),-13.85% (-0.33),64.14% (-7.50),0.17 (1.42),0.89 (-26.48),-0.22 (-0.31),0.96 (3.96),21.74% (94.92),-5.33% (8.44)
