,,value,value,value,value,value,value,value,value,value
metric,,CVaR,Expected return,Expected volatility,Information ratio,Portfolio beta,Sharpe ratio,Tail ratio,Tracking error,VaR
Assets,ALLOC_BENCH,,,,,,,,,
3,BITCOIN,-8.88% (-10.97),-23.53% (-3.05),71.48% (16.19),-1.16 (-5.73),1.06 (5.61),-0.33 (-3.86),0.94 (-0.63),41.92% (54.50),-6.50% (-14.53)
3,CAPITALIZATION_WEIGHTED,-8.88% (-3.27),-23.53% (-1.50),71.48% (8.55),-0.56 (-4.00),1.03 (3.13),-0.33 (-1.44),0.94 (2.38),31.24% (70.43),-6.50% (-6.97)
3,EQUAL_WEIGHTED,-8.88% (0.10),-23.53% (-1.70),71.48% (1.76),-0.19 (-4.18),0.94 (-8.63),-0.33 (-1.82),0.94 (1.38),30.61% (89.70),-6.50% (1.14)
5,BITCOIN,-8.81% (-12.04),-13.66% (-3.34),72.54% (16.87),-0.93 (-6.41),1.09 (8.54),-0.19 (-4.02),0.96 (-2.32),41.40% (51.30),-6.66% (-20.18)
5,CAPITALIZATION_WEIGHTED,-8.81% (-5.84),-13.66% (-1.15),72.54% (10.64),-0.27 (-0.85),1.08 (8.82),-0.19 (-1.36),0.96 (2.09),27.50% (42.55),-6.66% (-11.96)
5,EQUAL_WEIGHTED,-8.81% (1.30),-13.66% (1.11),72.54% (3.13),0.16 (-0.35),0.99 (-1.21),-0.19 (1.30),0.96 (3.58),24.91% (53.21),-6.66% (0.75)
8,BITCOIN,-8.86% (-11.12),-29.87% (-3.02),69.70% (17.10),-1.49 (-7.40),1.08 (11.86),-0.43 (-3.49),0.89 (-2.74),36.92% (54.26),-6.20% (-15.15)
8,CAPITALIZATION_WEIGHTED,-8.86% (-3.27),-29.87% (-1.46),69.70% (6.30),-1.11 (-7.59),1.06 (11.13),-0.43 (-1.37),0.89 (-0.78),21.41% (68.81),-6.20% (-6.77)
8,EQUAL_WEIGHTED,-8.86% (0.81),-29.87% (-2.25),69.70% (1.27),-0.75 (-4.67),0.99 (-3.58),-0.43 (-2.27),0.89 (1.86),16.32% (73.01),-6.20% (1.49)
10,BITCOIN,-8.99% (-12.97),-17.88% (-3.18),70.57% (20.75),-1.17 (-6.95),1.10 (11.54),-0.25 (-3.70),0.91 (-2.96),36.80% (68.54),-6.15% (-15.23)
10,CAPITALIZATION_WEIGHTED,-8.99% (-5.02),-17.88% (-1.33),70.57% (9.04),-0.57 (-4.36),1.08 (15.06),-0.25 (-1.38),0.91 (0.80),20.71% (64.71),-6.15% (-7.26)
10,EQUAL_WEIGHTED,-8.99% (1.99),-17.88% (0.03),70.57% (1.06),-0.02 (0.20),1.01 (2.34),-0.25 (0.32),0.91 (3.45),12.85% (103.39),-6.15% (1.96)
15,BITCOIN,-9.30% (-11.15),-28.14% (-3.88),71.35% (20.09),-1.41 (-7.71),1.11 (10.42),-0.39 (-4.08),0.86 (-3.56),37.74% (78.38),-6.45% (-14.94)
15,CAPITALIZATION_WEIGHTED,-9.30% (-6.65),-28.14% (0.14),71.35% (9.93),-1.08 (-5.30),1.10 (19.04),-0.39 (0.24),0.86 (-2.36),20.44% (96.02),-6.45% (-7.92)
15,EQUAL_WEIGHTED,-9.30% (0.10),-28.14% (-2.39),71.35% (2.00),-1.27 (-7.46),1.03 (25.03),-0.39 (-2.39),0.86 (0.97),8.32% (100.44),-6.45% (0.54)
