,,value,value,value,value,value,value,value,value,value
metric,,CVaR,Expected return,Expected volatility,Information ratio,Portfolio beta,Sharpe ratio,Tail ratio,Tracking error,VaR
Assets,ALLOC_BENCH,,,,,,,,,
3,BITCOIN,-10.64% (-19.05),16.06% (-2.09),95.69% (16.56),-0.12 (-4.22),1.10 (4.67),0.17 (-4.04),1.19 (1.74),74.36% (32.28),-6.50% (-17.65)
3,CAPITALIZATION_WEIGHTED,-10.64% (-9.31),16.06% (1.42),95.69% (12.32),0.34 (0.25),1.14 (5.72),0.17 (0.50),1.19 (5.76),64.65% (27.95),-6.50% (-8.62)
3,EQUAL_WEIGHTED,-10.64% (-7.16),16.06% (2.09),95.69% (10.70),0.54 (1.98),1.05 (1.91),0.17 (1.75),1.19 (7.25),62.72% (31.80),-6.50% (-1.71)
5,BITCOIN,-9.52% (-12.76),27.55% (1.06),82.10% (24.58),0.05 (0.40),1.10 (6.57),0.34 (0.14),1.11 (3.40),56.21% (69.05),-6.30% (-15.83)
5,CAPITALIZATION_WEIGHTED,-9.52% (-8.24),27.55% (1.92),82.10% (16.04),0.71 (1.95),1.08 (6.22),0.34 (1.80),1.11 (5.41),47.24% (62.93),-6.30% (-7.90)
5,EQUAL_WEIGHTED,-9.52% (-1.00),27.55% (4.27),82.10% (11.15),0.96 (7.80),0.98 (-2.19),0.34 (4.37),1.11 (8.47),47.19% (65.80),-6.30% (1.17)
8,BITCOIN,-8.93% (-10.33),5.49% (-0.75),76.70% (21.47),-0.40 (-1.32),1.09 (6.73),0.07 (-1.57),1.08 (2.65),48.16% (69.87),-6.09% (-16.25)
8,CAPITALIZATION_WEIGHTED,-8.93% (-6.07),5.49% (1.09),76.70% (18.49),0.30 (2.31),1.06 (10.81),0.07 (1.01),1.08 (6.38),38.51% (88.94),-6.09% (-8.72)
8,EQUAL_WEIGHTED,-8.93% (2.89),5.49% (1.42),76.70% (5.54),0.60 (2.44),0.97 (-6.92),0.07 (1.46),1.08 (8.35),38.39% (82.74),-6.09% (7.24)
10,BITCOIN,-9.17% (-11.22),-5.67% (-1.82),77.55% (21.48),-0.64 (-4.64),1.12 (8.52),-0.07 (-2.75),1.06 (2.36),48.21% (79.53),-6.32% (-17.36)
10,CAPITALIZATION_WEIGHTED,-9.17% (-6.33),-5.67% (-0.35),77.55% (15.00),0.01 (-0.31),1.08 (8.46),-0.07 (-0.26),1.06 (4.55),38.43% (79.58),-6.32% (-8.60)
10,EQUAL_WEIGHTED,-9.17% (1.11),-5.67% (1.28),77.55% (9.37),0.31 (2.70),0.98 (-2.41),-0.07 (1.17),1.06 (7.95),38.11% (74.98),-6.32% (0.80)
15,BITCOIN,-9.53% (-14.33),18.66% (-2.69),82.68% (31.29),-0.11 (-2.92),1.12 (7.94),0.23 (-3.94),1.13 (3.98),55.65% (83.26),-6.76% (-22.02)
15,CAPITALIZATION_WEIGHTED,-9.53% (-7.07),18.66% (1.68),82.68% (20.20),0.53 (2.47),1.09 (10.86),0.23 (1.56),1.13 (8.30),46.92% (70.04),-6.76% (-10.62)
15,EQUAL_WEIGHTED,-9.53% (-3.46),18.66% (1.94),82.68% (16.01),0.80 (5.09),1.01 (0.92),0.23 (2.35),1.13 (10.29),45.38% (93.97),-6.76% (-2.22)
