,,value,value,value,value,value,value,value,value,value
metric,,CVaR,Expected return,Expected volatility,Information ratio,Portfolio beta,Sharpe ratio,Tail ratio,Tracking error,VaR
Assets,ALLOC_BENCH,,,,,,,,,
3,BITCOIN,-8.53% (-9.49),-20.54% (-4.32),68.59% (13.10),-1.13 (-7.42),1.01 (0.16),-0.30 (-5.00),0.95 (-1.26),40.46% (54.48),-6.11% (-13.92)
3,CAPITALIZATION_WEIGHTED,-8.53% (-2.05),-20.54% (-2.14),68.59% (4.99),-0.46 (-4.91),0.98 (-3.55),-0.30 (-2.35),0.95 (1.43),31.11% (69.19),-6.11% (-5.66)
3,EQUAL_WEIGHTED,-8.53% (3.73),-20.54% (-0.45),68.59% (-1.54),-0.10 (-0.82),0.90 (-12.49),-0.30 (-0.53),0.95 (3.77),30.57% (98.76),-6.11% (5.98)
5,BITCOIN,-8.60% (-9.59),-8.83% (-2.49),72.28% (12.50),-0.78 (-6.56),1.06 (5.59),-0.12 (-3.92),0.99 (0.77),43.52% (29.94),-6.05% (-18.43)
5,CAPITALIZATION_WEIGHTED,-8.60% (-2.54),-8.83% (0.32),72.28% (5.96),-0.09 (-2.49),1.04 (3.35),-0.12 (0.09),0.99 (1.83),31.22% (28.88),-6.05% (-5.67)
5,EQUAL_WEIGHTED,-8.60% (5.63),-8.83% (1.83),72.28% (2.02),0.30 (0.63),0.97 (-2.89),-0.12 (1.39),0.99 (5.28),28.85% (30.81),-6.05% (5.03)
8,BITCOIN,-8.57% (-9.49),-25.45% (-3.86),68.66% (13.13),-1.36 (-8.84),1.06 (6.71),-0.37 (-4.22),0.92 (-3.36),37.13% (40.39),-6.06% (-13.49)
8,CAPITALIZATION_WEIGHTED,-8.57% (-2.24),-25.45% (-1.09),68.66% (6.05),-0.84 (-5.54),1.03 (5.55),-0.37 (-1.29),0.92 (1.61),23.03% (35.83),-6.06% (-5.30)
8,EQUAL_WEIGHTED,-8.57% (3.46),-25.45% (-0.32),68.66% (0.87),-0.41 (-2.20),0.96 (-6.65),-0.37 (-0.60),0.92 (4.82),18.98% (31.44),-6.06% (5.08)
10,BITCOIN,-8.73% (-10.42),-17.34% (-3.62),69.31% (13.51),-1.16 (-7.18),1.08 (8.93),-0.25 (-4.34),0.93 (-2.45),36.44% (45.54),-6.06% (-12.69)
10,CAPITALIZATION_WEIGHTED,-8.73% (-3.65),-17.34% (-1.48),69.31% (6.48),-0.52 (-4.86),1.05 (9.15),-0.25 (-1.46),0.93 (0.39),21.42% (47.13),-6.06% (-6.18)
10,EQUAL_WEIGHTED,-8.73% (3.88),-17.34% (-0.37),69.31% (-0.46),0.02 (-1.36),0.99 (-5.38),-0.25 (-0.49),0.93 (4.07),14.79% (39.14),-6.06% (5.33)
15,BITCOIN,-9.17% (-12.47),-30.47% (-6.78),70.32% (20.50),-1.49 (-10.80),1.09 (8.26),-0.43 (-7.11),0.86 (-7.32),37.11% (77.70),-6.52% (-18.70)
15,CAPITALIZATION_WEIGHTED,-9.17% (-6.11),-30.47% (-1.16),70.32% (8.98),-1.18 (-6.79),1.08 (12.90),-0.43 (-1.12),0.86 (-1.23),20.60% (75.77),-6.52% (-6.71)
15,EQUAL_WEIGHTED,-9.17% (1.71),-30.47% (1.18),70.32% (1.69),-1.39 (-7.53),1.01 (6.63),-0.43 (1.39),0.86 (3.50),9.27% (70.53),-6.52% (2.65)
